805,70,1.0,0.999,159.78072,-2.27497,0
1588,70,0.999,0.999,333.41257,-33.19898,0
2854,70,1.0,1.0,46.66543,-27.60745,0
2075,70,0.957,,338.65674,-32.36358,0
2251,64,0.887,0.901,131.33397,-0.91563,0
3096,64,,0.937,357.76907,-32.88947,0
2729,64,1.0,1.0,203.7478,0.27151,0
329,58,,0.929,200.23593,1.66408,0
738,58,,0.948,23.51542,-30.54075,0
1078,58,0.987,0.953,356.83185,-33.50623,0
704,58,0.937,0.959,221.51454,-0.67129,0
248,58,0.95,0.96,176.18675,0.22968,0
3157,58,0.992,0.999,349.1903,-29.3954,0
1038,58,0.999,1.0,215.64755,-2.64925,0
2058,58,0.907,,183.07338,1.88558,0
3261,52,0.911,0.908,230.63187,-0.75082,0
3154,52,1.0,1.0,204.68665,-1.15136,0
1282,48,0.918,0.931,335.37155,-34.94455,0
726,48,0.989,0.976,31.61951,-33.79683,0
2318,48,0.998,,21.81908,-33.36483,0
1351,46,0.995,0.987,352.77313,-33.97491,0
352,46,0.99,,34.46518,-31.0478,0
1276,44,0.991,,238.00044,-1.78534,0
3302,42,,0.814,20.44706,-28.75272,0
1258,42,,0.94,216.7776,0.7208,0
2277,42,,0.962,198.8718,1.53991,0
2187,42,0.968,0.997,183.60019,-0.53509,0
1231,42,0.994,1.0,188.59088,-0.1572,0
1012,40,0.908,0.971,46.41708,-29.5711,0
231,40,0.997,0.999,37.77798,-32.97901,0
1849,38,,0.953,204.2834,1.2177,0
3098,38,0.962,,181.19672,-2.72009,0
2313,36,0.954,0.891,221.67886,-3.85043,0
2199,36,0.983,0.905,350.62283,-30.6434,0
105,36,,0.975,215.70692,-0.55323,0
326,36,0.998,0.989,186.20958,-0.70414,0
3351,36,0.93,0.999,37.39024,-30.83811,0
2769,36,0.997,1.0,186.161,-0.69799,0
1093,36,0.851,,199.99738,2.11804,0
534,36,0.99,,185.64714,-2.42117,0
365,36,0.849,,141.1433,-1.90478,0
1364,34,,0.908,31.27489,-33.29631,0
2602,34,0.819,0.967,10.94209,-30.82482,0
2632,34,0.94,0.98,10.5192,-32.53961,0
2161,34,,0.998,345.1022,-35.209,0
315,32,,0.8,220.63545,0.29188,0
430,32,0.984,0.835,35.6577,-32.15816,0
891,32,0.891,0.883,331.5931,-33.04589,0
817,32,0.988,0.929,180.41615,-0.20731,0
1125,32,0.968,0.983,22.6289,-30.45799,0
3142,32,0.889,0.983,232.0035,0.67562,0
844,32,0.983,0.993,16.67529,-34.40028,0
909,32,1.0,,185.67223,2.09977,0
496,30,0.844,0.882,50.58249,-34.41571,0
1426,30,0.923,0.908,176.58809,-1.68118,0
508,30,0.995,0.91,155.5362,-0.4215,0
1592,30,,0.915,226.11102,-1.70997,0
2280,30,,0.949,334.00406,-27.76236,0
2367,30,,0.957,48.84465,-32.04128,0
1148,30,0.998,0.958,357.74005,-34.41555,0
2754,30,0.981,0.958,21.69769,-28.80421,0
2369,30,,0.966,178.83655,0.88457,0
259,30,0.812,0.975,331.6506,-32.71608,0
2660,30,0.99,0.989,132.98734,1.50468,0
1349,30,0.996,1.0,345.10303,-35.20935,0
2967,30,1.0,1.0,130.54643,1.64325,0
1242,30,0.918,,47.19172,-29.05714,0
3399,30,0.842,,205.44713,-1.94214,0
897,30,0.974,,40.00337,-34.30345,0
3357,28,0.979,0.822,174.8049,-0.00257,0
2322,28,,0.833,172.90053,-1.81063,0
2669,28,,0.858,140.35284,-0.97414,0
2423,28,,0.865,207.17921,-1.94567,0
3222,28,0.905,0.878,34.10406,-33.40128,0
1577,28,,0.883,332.119,-28.6189,0
1787,28,0.819,0.894,343.50052,-34.78101,0
2664,28,1.0,0.918,214.82709,-0.42031,0
52,28,,0.944,205.24345,-1.85431,0
1822,28,0.892,0.99,183.06471,1.91352,0
562,28,1.0,,168.98329,-2.86798,0
