Name,RA,DEC,zlens,zsource,R_Ein(arcsec),"maglens,i","magsource,i",Lens type,Discovery,Grade,References,unknown,Paper
095750+014507,149.45873,1.752085,0.574,-99,-99,-99,-99,19.72,22.54,GG,Y,B,SuGOHI2
095753+031932,149.4722,3.3256,-99,-99,0.88,1.48,-99,22.2,24.85,CG,V,C,SuGOHI5
095831+010937,149.6311,1.1603,0.55,-99,0.57,0.73,-99,19.81,24.76,CG,V,B,SuGOHI5
095917+010159,149.8208,1.033,0.446,-99,0.45,0.73,-99,17.94,-99,CG,V,B,SuGOHI5
095921+020638,149.8407,2.11067,0.552,3.354,-99,-99,0.74,20.23,-99,GQ,KC,A,SL2S SuGOHI4
095930+023427,149.8788,2.5743,-99,-99,1.13,-99,-99,21.6,-99,GG,V,B,SuGOHI5
095943+022213,149.931,2.3704,-99,-99,0.9,-99,-99,22,-99,GG,V,C,SuGOHI5
095955+021901,149.9832,2.3171,-99,-99,0.97,-99,-99,20.8,24.47,CG,VK,A,SuGOHI5 More et al. 2012 More et al. 2016
100025+001400,150.1079,0.2335,0.221,-99,0.22,1.81,-99,17.32,27.08,CG,V,C,SuGOHI5
100042+011811,150.17674,1.303319,0.366,-99,-99,-99,-99,19.55,21.93,GG,Y,C,SuGOHI2
100053+033732,150.22478,3.625638,0.332,-99,-99,-99,-99,17.61,22.87,GG,Y,C,SuGOHI2
100120+030735,150.3352,3.126665,0.535,-99,-99,-99,-99,19.09,22.86,GG,Y,C,SuGOHI2
100152-011827,150.46943,-1.307763,0.271,-99,-99,-99,-99,17.33,21.14,GG,Y,C,SuGOHI2
100201+020330,150.5063,2.0582,0.439,2.016,-99,-99,0.48,21.14,18.32,GQ,V,A,SuGOHI7
100209+031307,150.5406,3.2187,-99,-99,0.92,1.49,-99,21.79,24.8,GG,V,C,SuGOHI5
100329+030901,150.87366,3.150327,0.491,-99,-99,-99,-99,19.34,22.92,GG,Y,C,SuGOHI2
100332-003310,150.8863,-0.552964,0.547,-99,-99,-99,-99,19.72,22.98,GG,Y,C,SuGOHI2
100530-000856,151.3764,-0.1489,-99,-99,0.33,2.39,-99,19.09,26.37,CG,V,C,SuGOHI5
100532-010027,151.3867,-1.0077,0.42,-99,0.4,1.65,-99,17.94,24.21,CG,V,B,SuGOHI5
100554-010357,151.4755,-1.0659,-99,-99,1.05,2.89,-99,20.72,24.04,CG,V,B,SuGOHI5
100657+002849,151.7391,0.4804,0.731,-99,0.74,1.59,-99,19.26,25.67,CG,V,C,SuGOHI5
100659+024735,151.74702,2.793135,0.482,-99,-99,-99,-99,18.61,20.68,GG,Y,B,SuGOHI2
100712-012316,151.8008,-1.3878,-99,-99,0.93,3.17,-99,21.29,24.1,CG,V,B,SuGOHI5
100729-011434,151.8742,-1.2427,0.452,-99,0.45,1.87,-99,18.36,25.56,CG,V,C,SuGOHI5
100833+004033,152.1412,0.6759,-99,-99,0.46,0.64,-99,19.36,20.23,CG,V,C,SuGOHI5
101001-003556,152.5081,-0.5989,0.476,-99,0.48,-99,-99,19.56,-99,CG,V,C,SuGOHI5
101406-005405,153.5286,-0.9015,0.357,-99,0.29,0.67,-99,18.01,18.86,CG,V,C,SuGOHI5
101642+000145,154.1784,0.0293,0.501,-99,0.52,-99,-99,19.3,24.12,CG,V,C,SuGOHI5
101847-012132,154.6971,-1.3589,0.388,-99,0.39,1.13,-99,18.69,20.03,CG,V,A,SuGOHI5 DECaLS
103907-021630,159.7807,-2.275,-99,-99,0.16,-99,-99,-99,-99,CG,V,B,SuGOHI5 LinKS
112738-022130,171.9104,-2.3583,0.547,-99,0.6,-99,-99,-99,-99,CG,V,C,SuGOHI5
112810+010155,172.0439,1.032,0.295,-99,0.3,-99,-99,-99,-99,CG,V,C,SuGOHI5
112817-005859,172.0737,-0.9832,0.457,-99,0.43,-99,-99,-99,-99,CG,V,C,SuGOHI5
113011+013827,172.5458,1.6408,0.45,-99,0.42,-99,-99,-99,-99,CG,V,C,SuGOHI5
113340+011611,173.41677,1.269842,0.584,-99,-99,-99,-99,18.82,21.66,GG,Y,C,SuGOHI2
113542+012132,173.9283,1.358934,0.355,-99,-99,-99,-99,18.37,21.06,GG,Y,C,SuGOHI2 LinKS
113624-000830,174.10347,-0.141818,0.586,-99,-99,-99,-99,19.26,21.7,GG,Y,C,SuGOHI2
113652-012330,174.2191,-1.3918,0.34,-99,0.34,-99,-99,18.32,-99,CG,V,C,SuGOHI5 LinKS
113654+000500,174.22818,0.083417,0.578,-99,-99,-99,-99,19.21,22.71,CG,YV,C,SuGOHI2 SuGOHI5
113701+000630,174.2544,0.1084,-99,-99,0.58,1.87,-99,20.84,26.74,CG,V,C,SuGOHI5
113825+005000,174.6082,0.8335,-99,-99,0.25,-99,-99,18.69,-99,GG,V,C,SuGOHI5
113904-005102,174.76846,-0.850663,0.553,-99,-99,-99,-99,19.27,22.51,GG,Y,C,SuGOHI2
113908+005747,174.78531,0.963289,0.576,-99,-99,-99,-99,20.22,22.58,GG,Y,C,SuGOHI2
113929-021826,174.8726,-2.3072,-99,-99,0.79,0.87,-99,19.96,22.86,CG,V,A,SuGOHI5
114044-000252,175.18681,-0.047991,0.663,-99,-99,-99,-99,18.85,21.55,GG,Y,C,SuGOHI2
114233+004607,175.63898,0.768624,-99,-99,0.61,-99,-99,20.22,-99,GG,V,B,SuGOHI6
114256+010721,175.736613,1.122651,0.58,-99,-99,-99,-99,18.88,21.51,GG,Y,C,SuGOHI1
114258+001811,175.745265,0.303212,-99,-99,0.63,-99,-99,20.19,-99,GG,V,C,SuGOHI6
114258-003016,175.743896,-0.504605,0.534,-99,-99,-99,-99,18.92,21.29,GG,Y,C,SuGOHI1
114258-010914,175.744614,-1.154154,0.637,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
114301-004712,175.7554,-0.7867,-99,-99,0.28,0.87,-99,17.87,19.47,CG,V,B,SuGOHI5
114311-013935,175.797,-1.659827,0.644,-99,-99,-99,-99,19.42,20.79,GG,Y,B,SuGOHI2
114317+004033,175.8243,0.676,-99,-99,0.36,1.47,-99,21.12,21.66,GG,V,B,SuGOHI5
114324-005830,175.850834,-0.975222,-99,-99,0.47,-99,-99,19.02,-99,GG,VY,C,SuGOHI6
114329-014430,175.8735,-1.741667,0.106,0.402,-99,-99,1.68,14.92,-99,CG,KV,A,SLACS LinKS SuGOHI5
114333-011307,175.890704,-1.218729,-99,-99,0.5,-99,-99,19.3,-99,GG,V,C,SuGOHI6
114342+001340,175.9258,0.228,0.65,-99,0.65,2.75,-99,20.12,25.88,CG,V,B,SuGOHI5
114357+005646,175.989623,0.946122,-99,-99,0.69,-99,-99,19.85,-99,GG,V,C,SuGOHI6
114438-002547,176.1618,-0.4298,0.614,-99,0.73,0.97,-99,20.32,20.55,CG,VY,B,SuGOHI5 SuGOHI6
114439+010040,176.163917,1.011364,-99,-99,1.19,-99,-99,22.86,-99,GG,V,C,SuGOHI6
114440-003904,176.168128,-0.651309,-99,-99,0.79,-99,-99,20.59,-99,GG,V,C,SuGOHI6
114444+001344,176.187372,0.229142,-99,-99,0.92,-99,-99,20.87,-99,GG,V,B,SuGOHI6
114444+001347,176.1867,0.2297,0.468,-99,0.47,0.74,-99,19.49,22.4,CG,V,C,SuGOHI5 LinKS
114444+002008,176.183826,0.335588,0.612,-99,-99,-99,-99,19.35,22.15,GG,Y,C,SuGOHI1
114445+005256,176.189822,0.882355,-99,-99,0.72,-99,-99,21.34,-99,GG,V,B,SuGOHI6
114453-005034,176.224523,-0.842856,-99,-99,1,-99,-99,21.31,-99,GG,VY,C,SuGOHI6
114510+004420,176.292282,0.739139,0.529,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
